weapon_id,quality,dataset,band,armor_profile,flat_mitigation_proxy,center_m,sample_distances_m,mean_expected_damage_per_shot,min_expected_damage_per_shot
short_bow,Q1,vanilla,near,none,0.00,10,9/10/11,6.60,6.12
short_bow,Q1,vanilla,near,light,0.28,10,9/10/11,6.23,5.78
short_bow,Q1,vanilla,near,medium,0.48,10,9/10/11,5.97,5.53
short_bow,Q1,vanilla,near,heavy,0.68,10,9/10/11,5.70,5.29
short_bow,Q1,vanilla,mid,none,0.00,18,17/18/19,2.00,0.00
short_bow,Q1,vanilla,mid,light,0.28,18,17/18/19,1.89,0.00
short_bow,Q1,vanilla,mid,medium,0.48,18,17/18/19,1.81,0.00
short_bow,Q1,vanilla,mid,heavy,0.68,18,17/18/19,1.73,0.00
short_bow,Q1,vanilla,far,none,0.00,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,far,light,0.28,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,far,medium,0.48,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,far,heavy,0.68,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,ultra_far,none,0.00,25,24/25/26,0.00,0.00
short_bow,Q1,vanilla,ultra_far,light,0.28,25,24/25/26,0.00,0.00
short_bow,Q1,vanilla,ultra_far,medium,0.48,25,24/25/26,0.00,0.00
short_bow,Q1,vanilla,ultra_far,heavy,0.68,25,24/25/26,0.00,0.00
short_bow,Q1,mod,near,none,0.00,10,9/10/11,5.63,5.22
short_bow,Q1,mod,near,light,0.28,10,9/10/11,4.60,4.27
short_bow,Q1,mod,near,medium,0.48,10,9/10/11,3.87,3.59
short_bow,Q1,mod,near,heavy,0.68,10,9/10/11,3.14,2.91
short_bow,Q1,mod,mid,none,0.00,18,17/18/19,0.92,0.00
short_bow,Q1,mod,mid,light,0.28,18,17/18/19,0.75,0.00
short_bow,Q1,mod,mid,medium,0.48,18,17/18/19,0.63,0.00
short_bow,Q1,mod,mid,heavy,0.68,18,17/18/19,0.51,0.00
short_bow,Q1,mod,far,none,0.00,22,21/22/23,0.00,0.00
short_bow,Q1,mod,far,light,0.28,22,21/22/23,0.00,0.00
short_bow,Q1,mod,far,medium,0.48,22,21/22/23,0.00,0.00
short_bow,Q1,mod,far,heavy,0.68,22,21/22/23,0.00,0.00
short_bow,Q1,mod,ultra_far,none,0.00,25,24/25/26,0.00,0.00
short_bow,Q1,mod,ultra_far,light,0.28,25,24/25/26,0.00,0.00
short_bow,Q1,mod,ultra_far,medium,0.48,25,24/25/26,0.00,0.00
short_bow,Q1,mod,ultra_far,heavy,0.68,25,24/25/26,0.00,0.00
short_bow,Q2,vanilla,near,none,0.00,10,9/10/11,8.16,7.80
short_bow,Q2,vanilla,near,light,0.28,10,9/10/11,7.70,7.36
short_bow,Q2,vanilla,near,medium,0.48,10,9/10/11,7.38,7.05
short_bow,Q2,vanilla,near,heavy,0.68,10,9/10/11,7.05,6.74
short_bow,Q2,vanilla,mid,none,0.00,18,17/18/19,3.64,0.00
short_bow,Q2,vanilla,mid,light,0.28,18,17/18/19,3.44,0.00
short_bow,Q2,vanilla,mid,medium,0.48,18,17/18/19,3.29,0.00
short_bow,Q2,vanilla,mid,heavy,0.68,18,17/18/19,3.14,0.00
short_bow,Q2,vanilla,far,none,0.00,22,21/22/23,0.00,0.00
short_bow,Q2,vanilla,far,light,0.28,22,21/22/23,0.00,0.00
short_bow,Q2,vanilla,far,medium,0.48,22,21/22/23,0.00,0.00
short_bow,Q2,vanilla,far,heavy,0.68,22,21/22/23,0.00,0.00
short_bow,Q2,vanilla,ultra_far,none,0.00,25,24/25/26,0.00,0.00
short_bow,Q2,vanilla,ultra_far,light,0.28,25,24/25/26,0.00,0.00
short_bow,Q2,vanilla,ultra_far,medium,0.48,25,24/25/26,0.00,0.00
short_bow,Q2,vanilla,ultra_far,heavy,0.68,25,24/25/26,0.00,0.00
short_bow,Q2,mod,near,none,0.00,10,9/10/11,7.18,6.87
short_bow,Q2,mod,near,light,0.28,10,9/10/11,5.88,5.62
short_bow,Q2,mod,near,medium,0.48,10,9/10/11,4.94,4.72
short_bow,Q2,mod,near,heavy,0.68,10,9/10/11,4.01,3.83
short_bow,Q2,mod,mid,none,0.00,18,17/18/19,1.66,0.00
short_bow,Q2,mod,mid,light,0.28,18,17/18/19,1.35,0.00
short_bow,Q2,mod,mid,medium,0.48,18,17/18/19,1.14,0.00
short_bow,Q2,mod,mid,heavy,0.68,18,17/18/19,0.92,0.00
short_bow,Q2,mod,far,none,0.00,22,21/22/23,0.00,0.00
short_bow,Q2,mod,far,light,0.28,22,21/22/23,0.00,0.00
short_bow,Q2,mod,far,medium,0.48,22,21/22/23,0.00,0.00
short_bow,Q2,mod,far,heavy,0.68,22,21/22/23,0.00,0.00
short_bow,Q2,mod,ultra_far,none,0.00,25,24/25/26,0.00,0.00
short_bow,Q2,mod,ultra_far,light,0.28,25,24/25/26,0.00,0.00
short_bow,Q2,mod,ultra_far,medium,0.48,25,24/25/26,0.00,0.00
short_bow,Q2,mod,ultra_far,heavy,0.68,25,24/25/26,0.00,0.00
short_bow,Q3,vanilla,near,none,0.00,10,9/10/11,9.60,9.36
short_bow,Q3,vanilla,near,light,0.28,10,9/10/11,9.06,8.84
short_bow,Q3,vanilla,near,medium,0.48,10,9/10/11,8.68,8.46
short_bow,Q3,vanilla,near,heavy,0.68,10,9/10/11,8.29,8.09
short_bow,Q3,vanilla,mid,none,0.00,18,17/18/19,5.20,0.00
short_bow,Q3,vanilla,mid,light,0.28,18,17/18/19,4.91,0.00
short_bow,Q3,vanilla,mid,medium,0.48,18,17/18/19,4.70,0.00
short_bow,Q3,vanilla,mid,heavy,0.68,18,17/18/19,4.49,0.00
short_bow,Q3,vanilla,far,none,0.00,22,21/22/23,0.00,0.00
short_bow,Q3,vanilla,far,light,0.28,22,21/22/23,0.00,0.00
short_bow,Q3,vanilla,far,medium,0.48,22,21/22/23,0.00,0.00
short_bow,Q3,vanilla,far,heavy,0.68,22,21/22/23,0.00,0.00
short_bow,Q3,vanilla,ultra_far,none,0.00,25,24/25/26,0.00,0.00
short_bow,Q3,vanilla,ultra_far,light,0.28,25,24/25/26,0.00,0.00
short_bow,Q3,vanilla,ultra_far,medium,0.48,25,24/25/26,0.00,0.00
short_bow,Q3,vanilla,ultra_far,heavy,0.68,25,24/25/26,0.00,0.00
short_bow,Q3,mod,near,none,0.00,10,9/10/11,8.72,8.50
short_bow,Q3,mod,near,light,0.28,10,9/10/11,7.13,6.95
short_bow,Q3,mod,near,medium,0.48,10,9/10/11,6.00,5.85
short_bow,Q3,mod,near,heavy,0.68,10,9/10/11,4.86,4.74
short_bow,Q3,mod,mid,none,0.00,18,17/18/19,4.72,0.00
short_bow,Q3,mod,mid,light,0.28,18,17/18/19,3.86,0.00
short_bow,Q3,mod,mid,medium,0.48,18,17/18/19,3.25,0.00
short_bow,Q3,mod,mid,heavy,0.68,18,17/18/19,2.64,0.00
short_bow,Q3,mod,far,none,0.00,22,21/22/23,0.00,0.00
short_bow,Q3,mod,far,light,0.28,22,21/22/23,0.00,0.00
short_bow,Q3,mod,far,medium,0.48,22,21/22/23,0.00,0.00
short_bow,Q3,mod,far,heavy,0.68,22,21/22/23,0.00,0.00
short_bow,Q3,mod,ultra_far,none,0.00,25,24/25/26,0.00,0.00
short_bow,Q3,mod,ultra_far,light,0.28,25,24/25/26,0.00,0.00
short_bow,Q3,mod,ultra_far,medium,0.48,25,24/25/26,0.00,0.00
short_bow,Q3,mod,ultra_far,heavy,0.68,25,24/25/26,0.00,0.00
short_bow,Q4,vanilla,near,none,0.00,10,9/10/11,10.08,9.89
short_bow,Q4,vanilla,near,light,0.28,10,9/10/11,9.52,9.33
short_bow,Q4,vanilla,near,medium,0.48,10,9/10/11,9.11,8.94
short_bow,Q4,vanilla,near,heavy,0.68,10,9/10/11,8.71,8.54
short_bow,Q4,vanilla,mid,none,0.00,18,17/18/19,5.76,0.00
short_bow,Q4,vanilla,mid,light,0.28,18,17/18/19,5.44,0.00
short_bow,Q4,vanilla,mid,medium,0.48,18,17/18/19,5.21,0.00
short_bow,Q4,vanilla,mid,heavy,0.68,18,17/18/19,4.98,0.00
