weapon_id,quality,dataset,band,center_m,sample_distances_m,mean_distance_expected_dps,min_distance_expected_dps
short_bow,Q1,vanilla,near,10,9/10/11,1.33,1.24
short_bow,Q1,vanilla,mid,18,17/18/19,0.40,0.00
short_bow,Q1,vanilla,far,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q1,mod,near,10,9/10/11,1.58,1.47
short_bow,Q1,mod,mid,18,17/18/19,0.26,0.00
short_bow,Q1,mod,far,22,21/22/23,0.00,0.00
short_bow,Q1,mod,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q2,vanilla,near,10,9/10/11,1.65,1.58
short_bow,Q2,vanilla,mid,18,17/18/19,0.74,0.00
short_bow,Q2,vanilla,far,22,21/22/23,0.00,0.00
short_bow,Q2,vanilla,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q2,mod,near,10,9/10/11,2.04,1.95
short_bow,Q2,mod,mid,18,17/18/19,0.47,0.00
short_bow,Q2,mod,far,22,21/22/23,0.00,0.00
short_bow,Q2,mod,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q3,vanilla,near,10,9/10/11,1.94,1.89
short_bow,Q3,vanilla,mid,18,17/18/19,1.05,0.00
short_bow,Q3,vanilla,far,22,21/22/23,0.00,0.00
short_bow,Q3,vanilla,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q3,mod,near,10,9/10/11,2.53,2.47
short_bow,Q3,mod,mid,18,17/18/19,1.37,0.00
short_bow,Q3,mod,far,22,21/22/23,0.00,0.00
short_bow,Q3,mod,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q4,vanilla,near,10,9/10/11,2.04,2.00
short_bow,Q4,vanilla,mid,18,17/18/19,1.16,0.00
short_bow,Q4,vanilla,far,22,21/22/23,0.00,0.00
short_bow,Q4,vanilla,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q4,mod,near,10,9/10/11,2.85,2.79
short_bow,Q4,mod,mid,18,17/18/19,1.63,0.00
short_bow,Q4,mod,far,22,21/22/23,0.00,0.00
short_bow,Q4,mod,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q5,vanilla,near,10,9/10/11,2.08,2.05
short_bow,Q5,vanilla,mid,18,17/18/19,1.22,0.00
short_bow,Q5,vanilla,far,22,21/22/23,0.00,0.00
short_bow,Q5,vanilla,ultra_far,25,24/25/26,0.00,0.00
short_bow,Q5,mod,near,10,9/10/11,3.18,3.13
short_bow,Q5,mod,mid,18,17/18/19,1.86,0.00
short_bow,Q5,mod,far,22,21/22/23,0.00,0.00
